Date : 2024-10-16 09:04:09
Directory : e:\ECIC6\frontend\emss-ui-admin-vue3\src
Total : 1536 files,  281763 codes, 8803 comments, 12883 blanks, all 303449 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| vue            |        604 |    155,815 |      3,785 |      7,842 |    167,442 |
| TypeScript     |        799 |     75,678 |      4,763 |      4,027 |     84,468 |
| XML            |         92 |     41,794 |          2 |         26 |     41,822 |
| CSS            |          3 |      4,109 |         26 |        561 |      4,696 |
| JavaScript     |         10 |      2,033 |        101 |         50 |      2,184 |
| Less           |         18 |      1,746 |         73 |        298 |      2,117 |
| TypeScript JSX |          9 |        565 |         53 |         64 |        682 |
| Markdown       |          1 |         23 |          0 |         15 |         38 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |      1,536 |    281,763 |      8,803 |     12,883 |    303,449 |
| . (Files)                                                                                                                          |          2 |        104 |         25 |         41 |        170 |
| api                                                                                                                                |        385 |     12,745 |      1,643 |      2,238 |     16,626 |
| api\BizAssessment                                                                                                                  |          2 |        359 |          9 |         59 |        427 |
| api\BizPatient                                                                                                                     |          2 |        104 |          6 |         11 |        121 |
| api\Consult                                                                                                                        |          1 |         23 |          7 |          1 |         31 |
| api\MedicalQuality                                                                                                                 |          2 |         63 |         14 |          4 |         81 |
| api\Platform-Big-Data                                                                                                              |          1 |         11 |         11 |          2 |         24 |
| api\PlatformBigData                                                                                                                |          1 |        192 |         34 |          6 |        232 |
| api\Pre                                                                                                                            |          1 |         11 |          2 |          2 |         15 |
| api\bizIntervention                                                                                                                |          2 |        246 |          6 |         11 |        263 |
| api\bizTaskWristband                                                                                                               |          1 |          8 |          2 |          3 |         13 |
| api\bpm                                                                                                                            |         14 |        281 |         16 |         55 |        352 |
| api\bpm\form                                                                                                                       |          2 |         45 |          6 |          8 |         59 |
| api\bpm\leave                                                                                                                      |          2 |         22 |          3 |          5 |         30 |
| api\bpm\model                                                                                                                      |          2 |         50 |          1 |         10 |         61 |
| api\bpm\processInstance                                                                                                            |          2 |         37 |          0 |          6 |         43 |
| api\bpm\task                                                                                                                       |          2 |         64 |          0 |         13 |         77 |
| api\bpm\taskAssignRule                                                                                                             |          2 |         27 |          0 |          5 |         32 |
| api\bpm\userGroup                                                                                                                  |          2 |         36 |          6 |          8 |         50 |
| api\cdr                                                                                                                            |         18 |        950 |         94 |        111 |      1,155 |
| api\cdr\bizFollowPlan                                                                                                              |          2 |         96 |         10 |         12 |        118 |
| api\cdr\bizPatientVisit                                                                                                            |          2 |        257 |         20 |         13 |        290 |
| api\cdr\bizPatientVisitConfirm                                                                                                     |          2 |         60 |          6 |         11 |         77 |
| api\cdr\dicKpi                                                                                                                     |          2 |         69 |          7 |         11 |         87 |
| api\cdr\dicParagraph                                                                                                               |          2 |         48 |         17 |         13 |         78 |
| api\cdr\dicParagraphElement                                                                                                        |          2 |         73 |         10 |         12 |         95 |
| api\cdr\dicPghElementCondition                                                                                                     |          2 |         66 |          8 |         13 |         87 |
| api\cdr\dicSection                                                                                                                 |          2 |         61 |          9 |         14 |         84 |
| api\cdr\resHospitalMedical                                                                                                         |          2 |        220 |          7 |         12 |        239 |
| api\codegen                                                                                                                        |          2 |         54 |          7 |         10 |         71 |
| api\codegen\dicTemplate                                                                                                            |          2 |         54 |          7 |         10 |         71 |
| api\dashboard                                                                                                                      |          1 |         14 |          4 |          4 |         22 |
| api\echarts                                                                                                                        |          1 |        223 |         23 |          6 |        252 |
| api\ecqm                                                                                                                           |         33 |      1,363 |        158 |        222 |      1,743 |
| api\ecqm\bizPathCompare                                                                                                            |          1 |         16 |          4 |          6 |         26 |
| api\ecqm\bizPatientVisit                                                                                                           |          2 |        296 |         28 |         34 |        358 |
| api\ecqm\bizRfidReaderLog                                                                                                          |          2 |         84 |          6 |         11 |        101 |
| api\ecqm\dicClinicalAlert                                                                                                          |          2 |         71 |          7 |         12 |         90 |
| api\ecqm\dicClinicalEvent                                                                                                          |          2 |         81 |          7 |         12 |        100 |
| api\ecqm\dicClinicalEventGroup                                                                                                     |          2 |         46 |          6 |         11 |         63 |
| api\ecqm\dicClinicalMessage                                                                                                        |          2 |        112 |          8 |         11 |        131 |
| api\ecqm\dicClinicalPath                                                                                                           |          2 |        112 |          8 |         12 |        132 |
| api\ecqm\dicClinicalPathRfidCommand                                                                                                |          2 |         86 |          6 |         11 |        103 |
| api\ecqm\dicMtMessage                                                                                                              |          2 |         42 |          6 |         11 |         59 |
| api\ecqm\dicMtReceivergroup                                                                                                        |          1 |         32 |         11 |          3 |         46 |
| api\ecqm\dicObservation                                                                                                            |          2 |         57 |          6 |         11 |         74 |
| api\ecqm\dicObservationtype                                                                                                        |          2 |        117 |         25 |         29 |        171 |
| api\ecqm\dicSuggestionRule                                                                                                         |          2 |         52 |          6 |         11 |         69 |
| api\ecqm\dicTimingRule                                                                                                             |          2 |         50 |          6 |         11 |         67 |
| api\ecqm\dicTreatmentSuit                                                                                                          |          2 |         44 |          6 |         11 |         61 |
| api\ecqm\dicTreatmentType                                                                                                          |          2 |         57 |         10 |         13 |         80 |
| api\ecqm\result                                                                                                                    |          1 |          8 |          2 |          2 |         12 |
| api\error                                                                                                                          |          1 |          5 |          1 |          2 |          8 |
| api\externalpage                                                                                                                   |          3 |         64 |         27 |          7 |         98 |
| api\externalpage\connect                                                                                                           |          1 |         31 |         20 |          2 |         53 |
| api\externalpage\phmMdt                                                                                                            |          1 |         11 |          3 |          2 |         16 |
| api\externalpage\preview                                                                                                           |          1 |         22 |          4 |          3 |         29 |
| api\infra                                                                                                                          |         21 |        573 |         62 |         90 |        725 |
| api\infra\apiAccessLog                                                                                                             |          2 |         22 |          2 |          5 |         29 |
| api\infra\apiErrorLog                                                                                                              |          2 |         33 |          3 |          6 |         42 |
